Description,Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
MERS-CoV spike protein [synthetic construct],synthetic construct,synthetic construct,32630,43.1,43.1,100%,0.001,100.00,1353,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/APB87319.1?report=genbank&log$=prottop&blast_rank=1&RID=WVN30N9F016"",""APB87319.1"")"
coronavirus S2 glycofamily protein [Escherichia coli 1-110-08_S4_C2],Escherichia coli 1-110-08_S4_C2,Escherichia coli 1-110-08_S4_C2,1444243,43.1,43.1,100%,0.001,100.00,1353,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EYE08758.1?report=genbank&log$=prottop&blast_rank=2&RID=WVN30N9F016"",""EYE08758.1"")"
coronavirus S2 glycofamily protein [Escherichia coli 1-176-05_S1_C2],Escherichia coli 1-176-05_S1_C2,Escherichia coli 1-176-05_S1_C2,1444078,43.1,43.1,100%,0.001,100.00,1349,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EZK09688.1?report=genbank&log$=prottop&blast_rank=3&RID=WVN30N9F016"",""EZK09688.1"")"
coronavirus S2 glycofamily protein [Escherichia coli 1-110-08_S4_C1],Escherichia coli 1-110-08_S4_C1,Escherichia coli 1-110-08_S4_C1,1444215,43.1,43.1,100%,0.001,100.00,1345,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EYE09289.1?report=genbank&log$=prottop&blast_rank=4&RID=WVN30N9F016"",""EYE09289.1"")"
coronavirus S2 glycofamily protein [Escherichia coli 1-110-08_S4_C3],Escherichia coli 1-110-08_S4_C3,Escherichia coli 1-110-08_S4_C3,1444272,43.1,43.1,100%,0.001,100.00,1345,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EYD89444.1?report=genbank&log$=prottop&blast_rank=5&RID=WVN30N9F016"",""EYD89444.1"")"
truncated MERS-CoV spike protein [synthetic construct],synthetic construct,synthetic construct,32630,43.1,43.1,100%,0.001,100.00,1337,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/APB87325.1?report=genbank&log$=prottop&blast_rank=6&RID=WVN30N9F016"",""APB87325.1"")"
truncated MERS-CoV spike protein [synthetic construct],synthetic construct,synthetic construct,32630,43.1,43.1,100%,0.001,100.00,1334,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/APB87331.1?report=genbank&log$=prottop&blast_rank=7&RID=WVN30N9F016"",""APB87331.1"")"
truncated MERS-CoV spike protein [synthetic construct],synthetic construct,synthetic construct,32630,43.1,43.1,100%,0.001,100.00,1324,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/APB87337.1?report=genbank&log$=prottop&blast_rank=8&RID=WVN30N9F016"",""APB87337.1"")"
spike [synthetic construct],synthetic construct,synthetic construct,32630,43.1,43.1,100%,0.001,100.00,1273,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QIG55857.1?report=genbank&log$=prottop&blast_rank=9&RID=WVN30N9F016"",""QIG55857.1"")"
surface glycoprotein [synthetic construct],synthetic construct,synthetic construct,32630,43.1,43.1,100%,0.001,100.00,638,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QNL09184.1?report=genbank&log$=prottop&blast_rank=10&RID=WVN30N9F016"",""QNL09184.1"")"
coronavirus S2 glycofamily protein [Escherichia coli 1-110-08_S3_C3],Escherichia coli 1-110-08_S3_C3,Escherichia coli 1-110-08_S3_C3,1444190,43.1,43.1,100%,0.001,100.00,570,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EYE09374.1?report=genbank&log$=prottop&blast_rank=11&RID=WVN30N9F016"",""EYE09374.1"")"
spike glycoprotein [recombinant coronavirus],recombinant coronavirus,recombinant coronavirus,575864,40.5,40.5,100%,0.008,90.00,1259,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACJ60703.1?report=genbank&log$=prottop&blast_rank=12&RID=WVN30N9F016"",""ACJ60703.1"")"
