Description,Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
ORF1ab [synthetic construct],synthetic construct,synthetic construct,32630,51.1,51.1,100%,4e-06,100.00,7096,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QIG55856.1?report=genbank&log$=prottop&blast_rank=1&RID=WC6NTSVD016"",""QIG55856.1"")"
ORF1a polyprotein [synthetic construct],synthetic construct,synthetic construct,32630,51.1,51.1,100%,4e-06,100.00,4405,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/QJS57326.1?report=genbank&log$=prottop&blast_rank=2&RID=WC6NTSVD016"",""QJS57326.1"")"
polyprotein [recombinant SARS coronavirus],recombinant SARS coronavirus,recombinant SARS coronavirus,575560,47.7,47.7,100%,6e-05,93.33,7073,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACJ60680.1?report=genbank&log$=prottop&blast_rank=3&RID=WC6NTSVD016"",""ACJ60680.1"")"
replicase polyprotein 1A [recombinant coronavirus],recombinant coronavirus,recombinant coronavirus,575864,47.7,47.7,100%,6e-05,93.33,4376,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ACJ60693.1?report=genbank&log$=prottop&blast_rank=4&RID=WC6NTSVD016"",""ACJ60693.1"")"
SARS coronavirus 3C-like protease [synthetic construct],synthetic construct,synthetic construct,32630,47.7,47.7,100%,6e-05,93.33,316,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAT37158.1?report=genbank&log$=prottop&blast_rank=5&RID=WC6NTSVD016"",""AAT37158.1"")"
MULTISPECIES: aldehyde dehydrogenase [Pseudomonas],Pseudomonas,Pseudomonas,286,32.0,32.0,80%,21,83.33,498,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_098479836.1?report=genbank&log$=prottop&blast_rank=6&RID=WC6NTSVD016"",""WP_098479836.1"")"
cation:dicarboxylase symporter family transporter [Gordonia sp. OPL2],Gordonia sp. OPL2,Gordonia sp. OPL2,2486274,32.0,32.0,80%,21,83.33,434,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_187587221.1?report=genbank&log$=prottop&blast_rank=7&RID=WC6NTSVD016"",""WP_187587221.1"")"
hypothetical protein EXIGLDRAFT_838084 [Exidia glandulosa HHB12029],Exidia glandulosa HHB12029,Exidia glandulosa HHB12029,1314781,31.6,31.6,80%,30,76.92,465,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KZV90058.1?report=genbank&log$=prottop&blast_rank=8&RID=WC6NTSVD016"",""KZV90058.1"")"
aminodeoxychorismate lyase [Bacillus alveayuensis],Bacillus alveayuensis,Bacillus alveayuensis,279215,31.6,31.6,86%,30,73.33,284,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_044749409.1?report=genbank&log$=prottop&blast_rank=9&RID=WC6NTSVD016"",""WP_044749409.1"")"
glutamate synthase large subunit [Vogesella urethralis],Vogesella sp. YM-1,Vogesella sp. YM-1,2592656,31.2,31.2,73%,43,81.82,1483,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_144373021.1?report=genbank&log$=prottop&blast_rank=10&RID=WC6NTSVD016"",""WP_144373021.1"")"
glutamate synthase large subunit [Vogesella oryzae],Vogesella oryzae,Vogesella oryzae,1735285,31.2,31.2,73%,43,81.82,1481,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_174873393.1?report=genbank&log$=prottop&blast_rank=11&RID=WC6NTSVD016"",""WP_174873393.1"")"
hypothetical protein LBMAG57_22310 [Verrucomicrobia bacterium],Verrucomicrobia bacterium,Verrucomicrobia bacterium,2026799,31.2,31.2,73%,43,81.82,1039,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/GDX10459.1?report=genbank&log$=prottop&blast_rank=12&RID=WC6NTSVD016"",""GDX10459.1"")"
MULTISPECIES: DUF4982 domain-containing protein [Hymenobacter],Hymenobacter,Hymenobacter,89966,31.2,31.2,73%,43,73.33,829,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_183403212.1?report=genbank&log$=prottop&blast_rank=13&RID=WC6NTSVD016"",""WP_183403212.1"")"
probable tRNA (uracil-O(2)-)-methyltransferase [Bombyx mandarina],Bombyx mandarina,wild silkworm,7092,31.2,31.2,93%,43,73.33,590,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_028026532.1?report=genbank&log$=prottop&blast_rank=14&RID=WC6NTSVD016"",""XP_028026532.1"")"
unnamed protein product [Arctia plantaginis],Arctia plantaginis,Arctia plantaginis,874455,31.2,31.2,93%,43,73.33,588,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAB3255284.1?report=genbank&log$=prottop&blast_rank=15&RID=WC6NTSVD016"",""CAB3255284.1"")"
unnamed protein product [Arctia plantaginis],Arctia plantaginis,Arctia plantaginis,874455,31.2,31.2,93%,43,73.33,588,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CAB3228615.1?report=genbank&log$=prottop&blast_rank=16&RID=WC6NTSVD016"",""CAB3228615.1"")"
Uncharacterized protein OBRU01_15069 [Operophtera brumata],Operophtera brumata,winter moth,104452,31.2,31.2,93%,43,73.33,587,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KOB70568.1?report=genbank&log$=prottop&blast_rank=17&RID=WC6NTSVD016"",""KOB70568.1"")"
probable tRNA (uracil-O(2)-)-methyltransferase [Bombyx mori],Bombyx mori,domestic silkworm,7091,31.2,31.2,93%,43,73.33,322,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/XP_021206449.1?report=genbank&log$=prottop&blast_rank=18&RID=WC6NTSVD016"",""XP_021206449.1"")"
FecR domain-containing protein [Lewinella sp. W8],Lewinella sp. W8,Lewinella sp. W8,2528208,31.2,31.2,80%,43,75.00,281,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_134272840.1?report=genbank&log$=prottop&blast_rank=19&RID=WC6NTSVD016"",""WP_134272840.1"")"
TPA: hypothetical protein [Flavobacteriales bacterium],Flavobacteriales bacterium,Flavobacteriales bacterium,2021391,31.2,31.2,86%,43,76.92,75,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HHZ94766.1?report=genbank&log$=prottop&blast_rank=20&RID=WC6NTSVD016"",""HHZ94766.1"")"
possible transposase [Ixodes scapularis],Ixodes scapularis,black-legged tick,6945,30.8,30.8,80%,61,75.00,254,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/AAY66865.1?report=genbank&log$=prottop&blast_rank=21&RID=WC6NTSVD016"",""AAY66865.1"")"
